"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ-dyn-sigma"
"12/13/2025 19:32:11:507 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","mu","sigma","taxrate","efficiency","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","wealth_fraction_top [wealth] of turtles 0.1","wealth_fraction_bottom [wealth] of turtles 0.5","wealth_fraction_mid40 [wealth] of turtles","tail_exponent","immobility_top20","long_term_growth_factor"
"83","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16431384110278557","0.16422783965314747","0.3845678812971404","0.45120427904971133","6.7484264890204555","0.735","1.009498588477065"
"84","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16743639398638743","0.16817987182008198","0.3842084043558989","0.4476117238240203","6.455455723914598","0.745","1.0094234679831084"
"81","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16602291877543607","0.16661807274996895","0.3841707579599763","0.4492111692900527","6.009781167579943","0.73","1.0093638141310128"
"85","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16390804003301573","0.16366727143424822","0.3851594656552525","0.45117326291050064","6.623779120206693","0.73","1.0092566058959431"
"87","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16685207222340082","0.16764348369255838","0.3839057285829796","0.4484507877244636","5.5798052651384324","0.75","1.0092531053771063"
"86","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16207016503932214","0.16434238567208675","0.3870333487155801","0.4486242656123311","6.105800562167877","0.7","1.0091470401799905"
"88","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16788246526959205","0.16590574904909794","0.3826170683641474","0.4514771825867554","6.810381663073654","0.735","1.0094010957095236"
"89","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1690201956191295","0.167574427715156","0.3824278509447668","0.44999772134007704","6.387318251619532","0.78","1.0094653178517528"
"90","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1608891139442521","0.16302381260068388","0.38728826730955795","0.4496879200897564","6.255198499838761","0.72","1.009547993494896"
"91","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16649060445704666","0.1670089193422464","0.3839691527976428","0.4490219278601116","5.779948618913881","0.71","1.0093906932404204"
