"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"gatsby"
"12/14/2025 14:51:12:458 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","sigma","taxrate","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","mu","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","immobility_top20","immobility_bottom20","long_term_growth_factor"
"89","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19566454863384908","0.755","0.74","1.009506217922359"
"88","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19395672919673523","0.75","0.735","1.0093768548246955"
"90","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19644864610556856","0.74","0.725","1.0096239604897304"
"92","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20172033214491392","0.76","0.72","1.009615991214837"
"91","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19637017225334508","0.765","0.745","1.0095334692077005"
"93","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19349051862881894","0.76","0.715","1.0094536261548943"
"94","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20146193276241298","0.8","0.805","1.0094692619314507"
"95","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1887202828450969","0.77","0.71","1.0096542471137828"
"96","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20570917853166315","0.73","0.75","1.0099131345912347"
"98","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19642438073259738","0.755","0.775","1.0095264768815373"
"97","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19471074373798336","0.79","0.71","1.009700624304638"
"100","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19136632428766243","0.76","0.74","1.0096116988390207"
"101","0.05","0.015","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.16320124894173715","0.71","0.675","1.0093431281123426"
"99","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19730848430534098","0.785","0.72","1.0095029095520696"
"102","0.05","0.015","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1644028712090586","0.72","0.685","1.0092225788938414"
"107","0.05","0.015","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.16661638145351243","0.705","0.665","1.009242468142497"
"103","0.05","0.015","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.16684190473125216","0.69","0.71","1.0091748067692483"
"104","0.05","0.015","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.16149494537347953","0.66","0.675","1.0094117727600873"
"105","0.05","0.015","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.16411931869656038","0.765","0.74","1.0094008291695034"
