"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ growth efficiency tax"
"12/13/2025 20:35:09:361 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","taxrate","efficiency","mu","sigma","wealth_change?","network_change?","tax_change?","mass_simulation_speedup?","rewiring_frequency","efficiency_only_expected?","minimal_degree","tax_change_increment","stop_tick","link_creation","time_lag","quantile_fit","wealth_diff_type","wealth_generation","network_generation","link_removal","layout?","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","long_term_growth_factor","tail_exponent","total_gini","wealth_share_top10","wealth_share_top1","immobility_top20","immobility_quint2","immobility_quint3","immobility_quint4","immobility_bottom20","fraction_perceived_below_real_mean","for_more_tax","for_less_tax","fraction_below_perceived_mean","fraction_below_mean","abs_wealth_diff","log_wealth_assortativity"
"47","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0061546122691343","0.6334417589055357","0.9770826291619303","0.9760882746775416","0.8121935450611854","0.885","0.74","0.655","0.68","0.885","0.844","0.826","0.174","0.83","0.949","1.7620319663802582","0.0022705287821849574"
"45","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0074788383924393","0.5704518398645927","0.9789656148492389","0.9816774778670617","0.8039806087580857","0.865","0.695","0.655","0.71","0.885","0.919","0.831","0.169","0.837","0.941","1.761703928711066","0.003923722626799263"
"48","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0172290676465854","0.5312956608223837","0.994826203756173","0.9966023210407057","0.9561488668906875","0.89","0.695","0.665","0.695","0.84","0.94","0.833","0.167","0.84","0.979","1.7846659652367907","0.00442200666479788"
"46","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0062980924088174","0.5472198130246243","0.9719265416052616","0.9751585747970737","0.7334918135184608","0.825","0.625","0.65","0.71","0.86","0.84","0.832","0.168","0.84","0.932","1.7163759451085199","0.0025405648105217733"
"44","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0025768693639505","0.8135826706038344","0.9551566617349381","0.9438245823916447","0.6350924840508798","0.855","0.625","0.61","0.685","0.84","0.786","0.808","0.192","0.815","0.903","1.7193816877580006","-0.00382526014588281"
"49","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.007894132746429","0.6006815405830866","0.9818914626853612","0.9842367917246648","0.8555998438653283","0.895","0.705","0.62","0.675","0.86","0.887","0.828","0.172","0.833","0.948","1.71400279722058","-0.005755660371785127"
"50","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.008100143289788","0.6511518535980617","0.9802630307138522","0.9791327168154323","0.8395661863128452","0.87","0.705","0.675","0.685","0.84","0.936","0.804","0.196","0.81","0.947","1.7606151811740667","-0.01472989901975447"
"51","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0086476577632835","0.5850426886700321","0.9854800358413061","0.9866840706553596","0.8848118858079932","0.85","0.65","0.605","0.625","0.83","0.903","0.821","0.179","0.824","0.96","1.7569779493362683","-0.006920381044590104"
"56","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0093999174166077","0.5502743222660177","0.9839123514915391","0.9860891161376817","0.8399958806996164","0.88","0.71","0.655","0.715","0.89","0.895","0.836","0.164","0.846","0.956","1.6972610775841486","0.02313751358287479"
"53","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0022933916029964","0.6235362306108962","0.9569137110173238","0.9534800552889182","0.5658716376207714","0.88","0.68","0.655","0.715","0.855","0.754","0.815","0.185","0.823","0.923","1.7403228062681924","-0.0011310814638816537"
"54","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0048875316223271","0.5616486905703302","0.9678055435129942","0.9699483600073032","0.6878056923037789","0.84","0.65","0.655","0.75","0.92","0.803","0.809","0.191","0.816","0.94","1.6944757862382178","-0.0033441475271718643"
"58","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0065104740178161","0.5693258234124305","0.9760722006319815","0.9780683191432429","0.7748587744214779","0.87","0.7","0.645","0.685","0.885","0.843","0.824","0.176","0.83","0.946","1.7060081846056636","0.015865286336277283"
"52","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0074526091618923","0.6337235674089886","0.9767033487284387","0.9761096394338461","0.7769928607040218","0.865","0.7","0.635","0.635","0.83","0.895","0.822","0.178","0.826","0.946","1.7704580008888913","-0.00880381368044797"
"57","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.009828950220552","0.6196479526990956","0.9853501865484819","0.9853368952198498","0.8659209392437206","0.89","0.71","0.645","0.72","0.895","0.913","0.825","0.175","0.832","0.959","1.698167132128056","0.015019053499268761"
"60","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0108711288425165","0.5543409648471124","0.9899727911142273","0.9919330998059903","0.9054761833301198","0.875","0.7","0.685","0.755","0.895","0.929","0.813","0.187","0.823","0.969","1.7124152487560749","-0.004228265032404211"
"61","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0063725491118973","0.626672448728948","0.971570620726627","0.9689413568277032","0.7541017010284801","0.855","0.73","0.69","0.665","0.85","0.861","0.8","0.2","0.81","0.94","1.7475260921714457","0.010357300374370092"
"55","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.001473399384932","0.6217739444644798","0.9582255910177415","0.9544272040515293","0.6311772986011223","0.875","0.68","0.66","0.715","0.865","0.783","0.816","0.184","0.824","0.92","1.6829950643217997","0.0013297709945500162"
